"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"ATP6V1G2",0.10296801865262,1.89041682101499,0.258125519249634,0.797045501852949,0.984429455796311,-5.99038830905836,"ATP6V1G2"
"NME1",0.35003424595006,3.84067706252943,0.613914154246358,0.541206243993092,0.937055441326172,-5.99042986366089,"NME1"
"IRF2BP1",0.0676764193961546,1.78642984991712,0.129185300952225,0.897570769846298,0.990484143974303,-5.99046627131394,"IRF2BP1"
"AGER",0.0210556900730634,2.52626555826916,0.0591359689675082,0.953007427391971,0.994943792808869,-5.99070034079957,"AGER"
"RFXAP",-0.204861715405163,4.40187356245949,-0.716196698488167,0.476183508558663,0.917936526255815,-5.99079561453171,"RFXAP"
"ZNF524",0.0765844768550462,2.35570319093033,0.138508575534464,0.890224661623401,0.989948066489748,-5.99097226681361,"ZNF524"
"HYKK",-0.0814460492894193,1.91198334679196,-0.332223048351097,0.74068486476067,0.981220385572379,-5.9912695504737,"HYKK"
"NR2F6",-0.219829627708687,3.25731473418747,-0.589947677338566,0.557070330945573,0.942484188414017,-5.99127873273824,"NR2F6"
"POLR1E",0.089054413278051,2.5679835890605,0.260069586254321,0.795551426558063,0.984196132541606,-5.99140962396263,"POLR1E"
"MYDGF",-0.37880465950713,5.1451032477461,-0.717377181061112,0.475461071003269,0.917564069118509,-5.99148034347222,"MYDGF"
"SMPD2",0.0777083664007952,2.39169124936977,0.260138858527683,0.795498202767925,0.984196132541606,-5.99158549877547,"SMPD2"
"MEX3D",-0.0584537747236596,1.93960038812487,-0.158308108319405,0.874656629559321,0.988759183837812,-5.99158813641703,"MEX3D"
"TMEM147-AS1",-0.0914785420233276,2.06133865350088,-0.266977958271433,0.79024835575162,0.984196132541606,-5.991687356594,"TMEM147-AS1"
"STOML2",0.295838707070243,3.39694886235587,0.540022113857758,0.590846093817909,0.951223526093751,-5.99176662735508,"STOML2"
"DTX3L",-0.168410194175365,4.28303193271487,-0.502783137127409,0.616649287895432,0.959513240228882,-5.99178560611809,"DTX3L"
"RAB32",-0.168528580624808,3.10288910588219,-0.348838999849036,0.728226949318997,0.978759455631565,-5.99193847135138,"RAB32"
"KIAA1549",-0.330312132006187,5.28026493835923,-0.802043798189948,0.425163558888611,0.896940403538981,-5.99201439381113,"KIAA1549"
"BAZ2B",-0.286273320266921,8.67039443984216,-0.956223462608716,0.342154979409961,0.857771091657582,-5.99211506730881,"BAZ2B"
"TMEM69",0.10570278039559,2.85793181341609,0.378332780830697,0.706295186310195,0.974295244016136,-5.99215732147939,"TMEM69"
"SNHG20",0.116798075870747,3.37026843677435,0.370266316832185,0.712269690053483,0.974807632655702,-5.99227022012814,"SNHG20"
"BTBD1",-0.123838622740031,5.89329469900534,-0.767948883142851,0.445025702872351,0.90575630891829,-5.99233519976055,"BTBD1"
"TMCC2",0.0544858411708437,1.90429860172,0.205107858535213,0.83806587890366,0.98788248034934,-5.99233766403607,"TMCC2"
"PGLS",0.321133577174064,4.24930757778652,0.630716481033266,0.530220344569911,0.93315686150417,-5.9924395791011,"PGLS"
"SIX4",-0.0964452290192555,1.42332433898427,-0.269363750658101,0.788419238146765,0.984196132541606,-5.99252111885299,"SIX4"
"C2orf88",0.236584760224369,3.03577949207038,0.463022400355855,0.644743016077258,0.966109381050189,-5.9927038891929,"C2orf88"
"API5",-0.132613412637813,5.56758946827406,-0.741604843043736,0.460735916067415,0.911384593252269,-5.99284143419348,"API5"
"AP5S1",0.0398986733105449,2.11360524343594,0.119417275323931,0.905276927144549,0.990617020811747,-5.99289064995009,"AP5S1"
"COMMD5",-0.165858978896694,3.12901725869413,-0.419651565305256,0.675987975852467,0.970201377276667,-5.99293237855774,"COMMD5"
"ALOX12-AS1",0.179884138504467,5.69690179555338,0.766515798720149,0.445872221035583,0.906152050949114,-5.99301656580555,"ALOX12-AS1"
"ZSCAN31",-0.029079061403555,2.20449431107256,-0.0721924136756692,0.942648694238058,0.994943792808869,-5.9930170963256,"ZSCAN31"
"NCR3LG1",-0.0612306643805457,2.11829063039184,-0.179766134540905,0.857840495196784,0.988458712841933,-5.99322281969058,"NCR3LG1"
"PLCB3",0.188133676984525,3.37295426524036,0.568386851914013,0.571538584790074,0.947656414034593,-5.99323553218854,"PLCB3"
"SMURF1",0.18305015666333,6.89619189506196,0.805723487629493,0.423051987701564,0.895930131109094,-5.99325264882392,"SMURF1"
"CIAPIN1",0.116743617645635,4.17845866472226,0.656232482644231,0.513763685706148,0.928097262221928,-5.99326015089125,"CIAPIN1"
"CTSA",0.267730723060649,4.38621318876933,0.627906065821376,0.532049509265891,0.9334276092813,-5.99332760293976,"CTSA"
"FUNDC1",-0.190085581630001,2.56057042881247,-0.434360096733959,0.665324265614647,0.969201661950938,-5.9933655092155,"FUNDC1"
"LINC02175",-0.121540238218683,2.8496905082997,-0.360168030929266,0.719774533290265,0.976980930944408,-5.9933857185503,"LINC02175"
"SNRPA1",-0.154581191372394,5.12390535042269,-0.729207568696271,0.468237213416975,0.914735392559405,-5.99342956467972,"SNRPA1"
"MED26",0.130754681977189,4.53567341789309,0.637664360930641,0.525712339157319,0.930692620006007,-5.99344479258016,"MED26"
"MGLL",-0.217055439578117,4.50944674542609,-0.475557658753818,0.635827372752991,0.964877338347866,-5.99349932190026,"MGLL"
"PCDHGA1",-0.154210888602815,1.81694409466342,-0.228181577945483,0.820151689494326,0.986559328109022,-5.9935132777231,"PCDHGA1"
"PGAM5",-0.0505773909139341,2.18518647695533,-0.161840629931192,0.87188408608583,0.988458712841933,-5.99365439467286,"PGAM5"
