"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","comparison"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SIVA1",-2.30547602274102,4.43710048824118,-7.56821848776974,8.4618611269661e-11,7.14270151338328e-09,14.3627247444841,"SIVA1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.PRELID1",-3.36306492792757,4.12302524679233,-7.5641436552569,8.66609801080699e-11,7.27679999462422e-09,14.3397008576921,"PRELID1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.ACTG1",-4.31327414874173,7.12849610706094,-7.57178815415159,8.45595152775733e-11,7.14270151338328e-09,14.3207122900852,"ACTG1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SYT7",-5.16185953125066,0.920502017509552,-7.56361822082387,8.76051491189767e-11,7.31776761234452e-09,14.3166075185898,"SYT7","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.TUSC2",-2.69175281782942,3.12996108461777,-7.55469544974977,8.9728611737686e-11,7.4563081608757e-09,14.3146703588396,"TUSC2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.STOML2",-2.4848760268609,3.40076569083811,-7.55203952526754,9.07677908120553e-11,7.50378262393682e-09,14.2998274613974,"STOML2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.CERS2",-1.83668723687401,4.19802076380878,-7.54969795311007,9.16939218174267e-11,7.54147240055328e-09,14.2844878498061,"CERS2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SLC39A3",-2.4914905378223,3.19953420213311,-7.5481302653203,9.2319227815338e-11,7.55416212093057e-09,14.2842721804896,"SLC39A3","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.NDUFAF3",-3.67069996848644,3.89517113249812,-7.54969084908009,9.27945734956997e-11,7.55451456712706e-09,14.2727320666715,"NDUFAF3","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.HNRNPH2",-2.02214497292181,4.67173041309819,-7.54220308702823,9.47220753072396e-11,7.6724880998864e-09,14.2433579952248,"HNRNPH2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.TRAPPC1",-3.35801127083507,3.72981699286185,-7.5382077657954,9.69687334135421e-11,7.77592273243194e-09,14.2314941326356,"TRAPPC1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
